,0
BirdIndividualID,0.9720734506503443
SealID,0.7002398081534772
FriesianCattle2015,0.55
ATRW,0.9367441860465117
NDD20,0.615819209039548
SMALST,1.0
SeaTurtleIDHeads,0.8986175115207373
AAUZebraFish,0.998501872659176
CZoo,0.983451536643026
CTai,0.9067524115755627
Giraffes,0.8768656716417911
HyenaID2022,0.773015873015873
MacaqueFaces,0.9896496815286624
OpenCows2020,0.9978880675818373
StripeSpotter,0.975609756097561
AerialCattle2017,1.0
GiraffeZebraID,0.780439121756487
IPanda50,0.8545454545454545
WhaleSharkID,0.5003154574132492
FriesianCattle2017,0.98989898989899
Cows2021,0.9936562860438293
LeopardID2022,0.7606420097697139
NOAARightWhale,0.3468950749464668
HappyWhale,0.25335460260861403
HumpbackWhaleID,0.6353916065223202
LionData,0.2064516129032258
NyalaData,0.21728971962616822
ZindiTurtleRecall,0.5814406229720961
BelugaID,0.4792482380579483
